2024-07-02 07:19:47.100 [info] Experiment 'pythonCreateEnvOnPipInstall' is active
2024-07-02 07:19:47.100 [info] Experiment 'pythonRecommendTensorboardExt' is active
2024-07-02 07:19:47.100 [info] Experiment 'pythonTerminalEnvVarActivation' is active
2024-07-02 07:19:47.100 [info] Experiment 'pythonTestAdapter' is active
2024-07-02 07:19:47.100 [info] Default formatter is set to null for workspace /home/ndao/DB_Provisionning
2024-07-02 07:19:47.100 [info] Python interpreter path: /bin/python3
2024-07-02 07:19:49.392 [info] > pyenv which python
2024-07-02 07:19:49.392 [info] cwd: .
2024-07-02 07:19:51.420 [info] Starting Pylance language server.
2024-07-02 08:07:32.322 [info] Discover tests for workspace name: DB_Provisionning - uri: /home/ndao/DB_Provisionning/.vscode/settings.json
2024-07-02 10:41:16.489 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-07-02 10:41:31.842 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-07-02 10:54:52.111 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-07-02 10:54:53.105 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-07-02 11:28:16.593 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-07-02 11:28:32.231 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-07-02 11:28:32.607 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-07-02 11:28:34.787 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-07-02 11:28:35.157 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-07-02 11:28:36.397 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-07-02 11:28:37.443 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-07-02 11:28:40.235 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-07-02 11:28:40.574 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
2024-07-02 11:28:41.314 [info] Discover tests for workspace name: undefined - uri: c:/Users/dalom/AppData/Roaming/Code/User/settings.json
